Project,Latitude,Longitude,Large project,Address
130_modification-au-plan-durbanisme-boul-henri-bourassa,45.63230739,-73.57166687,1,N/A
131_modification-ppu-nouveau-saint-laurent,45.507333,-73.72622856,1,N/A
132_projet-domiciliaire-village-saint-louis,45.44498942,-73.6938741,0,N/A
133_ancienne-usine-lavo,45.54540607,-73.54316319,0,N/A
134_cour-voirie-marie-anne-et-coloniale,45.52012207,-73.58263664,0,N/A
135_modification-au-plan-durbanisme-document-complementaire,N/A,N/A,N/A,N/A
136_projet-residentiel-site-durocher-et-danvers,45.5337376,-73.63954275,0,N/A
137_centre-tennis-parc-jarry-tennis-canada-2,45.5330023,-73.62698901,0,N/A
138_mission-bon-accueil,45.47352017,-73.59071147,0,"606 Courcelle St, Montreal, Quebec H4C 3L5"
139_agrandissement-complexe-lhotel-bourbon,45.52165503,-73.55297576,0,N/A
140_projet-immobilier-decores,45.51597675,-73.55446222,0,N/A
141_agrandissement-1455-59-rue-towers,45.49310803,-73.58183241,0,"1455 Towers St, Montreal, QC H3H 2E2"
142_propriete-lhopital-louis-h-lafontaine,45.58738202,-73.5336054,1,N/A
143_maisons-top,45.49618501,-73.84529586,0,N/A
144_agrandissement-temple-shree-ramji-mandhata,45.53303526,-73.63598465,0,"8155 Durocher St., Montreal, Quebec H3N 2A8"
145_condos-gare,45.52901026,-73.62105378,0,"7060 Rue Hutchison, Montreal, QC H3N 2Z1"
146_patisserie-boulangerie-afroditi,45.52828157,-73.62987707,0,"750 Rue Saint-Roch, Montréal, QC H3N 1L3"
147_centre-tennis-parc-jarry-tennis-canada-1,45.5330023,-73.62698901,0,N/A
148_modification-au-plan-durbanisme-rue-jarry-est,45.54733368,-73.62546432,1,N/A
149_agrandissement-magasin-holt-renfrew,45.49938801,-73.57854599,0,"1300 Sherbrooke St W, Montreal, Quebec H3G 1H9"
150_cite-des-ondes,45.52329056,-73.54925555,0,N/A
151_fondation-islamique-charitable-alkhoee,45.50481656,-73.64017767,0,"7085 Ch. de la Côte-des-Neiges, Montréal, QC H3R 2M1"
152_reamenagement-site-benny-farm-0,45.4648456,-73.63058182,0,N/A
153_ecole-de-technologie-superieure-ets,45.49517822,-73.56353077,0,"1111 Notre-Dame St W, Montreal, Quebec H3C 6M8"
154_cooperative-dhabitation-ancien-garage-municipal,45.44674977,-73.65077157,0,"111 Rue des Érables, Lachine, QC H8R 1B1"
155_cour-turcot-sud-ouest,45.45307631,-73.627506,0,N/A
156_agrandissement-dun-lieu-de-culte-au-7190-rue-de-nancy,45.50393258,-73.64188607,0,"7190 Rue de Nancy, Montréal, QC H3R 2L7"
157_ancien-bain-mathieu,45.53742139,-73.54983724,0,"2915 Ontario St E, Montreal, Quebec H2K 1X7"
158_centre-dachats-boulevard-saint-charles,45.46211366,-73.86667561,0,N/A
159_cooperative-dhabitation-main-dans-la-main,45.55926116,-73.53999509,0,"4847 Rue de Rouen, Montréal, QC H1V 1H6"
160_1020-rue-saint-germain-et-1405-boul-de-la-cote-vertu,N/A,N/A,N/A,N/A
